dataset,source_id,L_j,n_content,mu_unif,mu_mask,Epi_unif,Epi_mask,ratio
factscore_bio,Kang Ji-hwan,27,14,0.344905,0.47313,0.00172696,0.00337583,1.95479
factscore_bio,Kang Ji-hwan,24,10,0.333511,0.478583,0.00237647,0.00353027,1.48551
factscore_bio,Kang Ji-hwan,36,18,0.160607,0.158017,0.00152468,0.00156201,1.02448
factscore_bio,Kang Ji-hwan,33,16,0.0808075,0.102382,0.000462564,0.000697851,1.50866
factscore_bio,Kang Ji-hwan,42,18,0.290125,0.272486,0.00235045,0.00251371,1.06946
factscore_bio,Kang Ji-hwan,15,8,0.178532,0.198049,0.00122397,0.00156255,1.27662
factscore_bio,Kang Ji-hwan,33,16,0.111286,0.131141,0.00107071,0.00152655,1.42574
factscore_bio,Kang Ji-hwan,25,10,0.320973,0.406699,0.00274419,0.0040905,1.4906
factscore_bio,Kang Ji-hwan,21,8,0.0627053,0.103358,0.000323817,0.000935879,2.89015
factscore_bio,Kalki Koechlin,30,17,0.739294,0.759644,0.00230991,0.00246842,1.06862
factscore_bio,Kalki Koechlin,38,23,0.411556,0.314199,0.00103243,0.00108635,1.05222
factscore_bio,Kalki Koechlin,25,10,0.497533,0.548436,0.0031267,0.00383596,1.22684
factscore_bio,Kalki Koechlin,22,11,0.484333,0.551947,0.00526778,0.00497927,0.945231
factscore_bio,Kalki Koechlin,26,12,0.283541,0.287279,0.00179627,0.00188753,1.0508
factscore_bio,Kalki Koechlin,23,12,0.363479,0.365859,0.00259711,0.00300645,1.15762
factscore_bio,Kalki Koechlin,58,32,0.544832,0.53202,0.00129157,0.0018337,1.41974
factscore_bio,Kalki Koechlin,34,17,0.303011,0.350082,0.00113137,0.00119656,1.05762
factscore_bio,William Post,41,17,0.2188,0.19339,0.00107266,0.00115007,1.07217
factscore_bio,William Post,37,16,0.139908,0.0944877,0.000864336,0.00109204,1.26344
factscore_bio,William Post,24,9,0.0125177,0.0127127,3.60247e-05,7.18004e-05,1.99309
factscore_bio,William Post,28,11,0.011756,0.0184042,3.11768e-05,8.23368e-05,2.64097
factscore_bio,William Post,31,12,0.0259669,0.0161443,0.000101785,7.57957e-05,0.744663
factscore_bio,William Post,7,4,0.0163146,0.0257849,6.36035e-05,0.000169193,2.66012
factscore_bio,William Post,23,10,0.0179162,0.0331438,5.53405e-05,0.000174111,3.14618
factscore_bio,William Post,23,9,0.00818592,0.00839865,3.40428e-05,2.62662e-05,0.771564
factscore_bio,William Post,22,8,0.00719879,0.0082474,1.26844e-05,1.74595e-05,1.37645
factscore_bio,William Post,17,5,0.017093,0.0368075,9.55595e-05,0.000796642,8.33661
factscore_bio,William Post,3,2,0.05938,0.0289987,0.0015441,0.0004561,0.295383
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",50,29,0.504166,0.486773,0.00180792,0.00219187,1.21237
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",19,9,0.240282,0.284398,0.00174047,0.00334394,1.92128
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",19,8,0.349855,0.320382,0.00476991,0.00607811,1.27426
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",24,6,0.132378,0.0682353,0.000863466,0.000889147,1.02974
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",24,13,0.116463,0.140746,0.000988152,0.0012916,1.30709
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",25,9,0.23139,0.252671,0.00203413,0.00144849,0.712093
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",18,8,0.279453,0.217711,0.00184029,0.00192595,1.04654
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",18,8,0.514673,0.491515,0.00328477,0.00509799,1.55201
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",20,10,0.387667,0.498944,0.00189121,0.00252034,1.33266
factscore_bio,"William Waldegrave, Baron Waldegrave of North Hill",39,24,0.203173,0.216231,0.00271161,0.00275798,1.0171
factscore_bio,Darrius Heyward-Bey,29,17,0.599293,0.583226,0.00315013,0.003158,1.0025
factscore_bio,Darrius Heyward-Bey,18,7,0.254597,0.338824,0.00201754,0.00442948,2.19548
factscore_bio,Darrius Heyward-Bey,25,12,0.190364,0.227083,0.00222886,0.00247445,1.11019
factscore_bio,Darrius Heyward-Bey,29,14,0.108602,0.176519,0.000469124,0.0010655,2.27125
factscore_bio,Darrius Heyward-Bey,25,14,0.515642,0.559444,0.00684554,0.00413632,0.604235
factscore_bio,Darrius Heyward-Bey,37,15,0.0864438,0.0899247,0.000375579,0.000491401,1.30838
factscore_bio,Darrius Heyward-Bey,26,13,0.0981206,0.105583,0.000351259,0.000393516,1.1203
factscore_bio,Darrius Heyward-Bey,22,9,0.166663,0.0981697,0.00174439,0.00110304,0.632334
factscore_bio,Darrius Heyward-Bey,24,11,0.0591938,0.062475,0.000385144,0.000613942,1.59406
factscore_bio,Darrius Heyward-Bey,21,12,0.0472584,0.066755,0.00025487,0.000615161,2.41363
factscore_bio,Andrew Shue,16,10,0.636881,0.614063,0.00292389,0.00325803,1.11428
factscore_bio,Andrew Shue,17,6,0.504721,0.612075,0.00289295,0.00771961,2.66842
factscore_bio,Andrew Shue,24,11,0.525466,0.47228,0.0027993,0.00324676,1.15985
factscore_bio,Andrew Shue,24,12,0.261673,0.242287,0.00272031,0.00292309,1.07454
