pos,count,sat_fraction,mean_gate,is_content
INTJ,2,0.000000,0.216089,0
ADV,170,0.364706,0.110979,0
PRON,539,0.359926,0.105301,0
NOUN,1631,0.383200,0.103278,1
X,4,0.250000,0.102323,0
AUX,357,0.397759,0.101591,0
PUNCT,1354,0.400295,0.101104,0
ADJ,648,0.424383,0.099680,1
CCONJ,392,0.415816,0.098308,0
VERB,847,0.433294,0.097954,0
NUM,545,0.416514,0.096858,1
ADP,1089,0.440771,0.093426,0
SCONJ,69,0.420290,0.093414,0
PROPN,2027,0.466206,0.090021,1
SPACE,263,0.441065,0.088606,0
DET,690,0.479710,0.086628,0
PART,154,0.474026,0.083859,0
SYM,9,0.777778,0.033471,0
