epoch,phi,rho
1,47.6,0.0206
2,45.4,0.0215
3,43.6,0.0224
4,42,0.0233
5,40.6,0.0240
6,39.5,0.0247
7,38.7,0.0252
8,38,0.0256
9,37.6,0.0259
10,37.4,0.0261
11,37.3,0.0261
12,37.4,0.0260
13,37.7,0.0258
14,38.1,0.0255
15,38.7,0.0252
16,39.5,0.0247
17,40.4,0.0242
18,41.5,0.0236
19,42.6,0.0229
20,43.8,0.0223
21,45.1,0.0217
22,46.5,0.0211
23,47.9,0.0204
24,49.4,0.0198
25,51,0.0192
26,52.7,0.0186
27,54.5,0.0180
28,56.4,0.0174
29,58.4,0.0168
30,60.6,0.0162
31,62.8,0.0157
32,65.2,0.0151
33,67.7,0.0146
34,70.2,0.0140
35,72.9,0.0135
36,75.6,0.0130
37,78.4,0.0126
38,81.3,0.0122
39,84.1,0.0118
40,87,0.0114
41,89.8,0.0110
42,92.8,0.0107
43,95.7,0.0103
44,98.7,0.0100
45,102,0.0097
46,105,0.0094
47,108,0.0092
48,112,0.0089
49,115,0.0086
50,118,0.0084
51,122,0.0081
52,126,0.0079
53,129,0.0077
54,133,0.0075
55,137,0.0072
56,141,0.0070
57,145,0.0069
58,149,0.0067
59,153,0.0065
60,157,0.0063
61,161,0.0062
62,165,0.0060
63,169,0.0059
64,174,0.0057
65,178,0.0056
66,182,0.0055
67,186,0.0053
68,191,0.0052
69,195,0.0051
70,200,0.0050
71,204,0.0049
72,208,0.0048
73,213,0.0047
74,218,0.0046
75,222,0.0045
76,227,0.0044
77,231,0.0043
78,236,0.0042
79,241,0.0041
80,246,0.0041
81,251,0.0040
82,256,0.0039
83,260,0.0038
84,265,0.0038
85,270,0.0037
86,275,0.0036
87,280,0.0036
88,286,0.0035
89,291,0.0034
90,296,0.0034
91,301,0.0033
92,307,0.0032
93,312,0.0032
94,318,0.0031
95,324,0.0031
96,330,0.0030
97,337,0.0030
98,343,0.0029
99,349,0.0029
100,355,0.0028
101,361,0.0028
102,367,0.0027
103,373,0.0027
104,379,0.0026
105,385,0.0026
106,391,0.0026
107,397,0.0025
108,403,0.0025
109,409,0.0024
110,415,0.0024
111,420,0.0024
112,426,0.0023
113,432,0.0023
114,438,0.0023
115,444,0.0022
116,450,0.0022
117,456,0.0022
118,461,0.0022
119,467,0.0021
120,473,0.0021
121,479,0.0021
122,485,0.0021
123,491,0.0020
124,496,0.0020
125,502,0.0020
126,508,0.0020
127,514,0.0019
128,520,0.0019
129,526,0.0019
130,532,0.0019
131,538,0.0019
132,544,0.0018
133,550,0.0018
134,556,0.0018
135,562,0.0018
136,568,0.0018
137,574,0.0017
138,580,0.0017
139,586,0.0017
140,592,0.0017
141,599,0.0017
142,605,0.0017
143,611,0.0016
144,617,0.0016
145,623,0.0016
146,629,0.0016
147,636,0.0016
148,642,0.0016
149,648,0.0015
150,655,0.0015
151,661,0.0015
152,667,0.0015
153,674,0.0015
154,680,0.0015
155,686,0.0015
156,693,0.0014
157,699,0.0014
158,706,0.0014
159,712,0.0014
160,718,0.0014
161,725,0.0014
162,731,0.0014
163,738,0.0014
164,745,0.0013
165,751,0.0013
166,758,0.0013
167,764,0.0013
168,771,0.0013
169,778,0.0013
170,784,0.0013
171,791,0.0013
172,798,0.0013
173,804,0.0012
174,811,0.0012
175,818,0.0012
176,824,0.0012
177,831,0.0012
178,838,0.0012
179,845,0.0012
180,852,0.0012
181,859,0.0012
182,865,0.0012
183,872,0.0011
184,879,0.0011
185,886,0.0011
186,893,0.0011
187,900,0.0011
188,907,0.0011
